,input,output
1576," Ihr Profil
Für diese verantwortungsvolle Aufgabe bringen Sie <SoftSkill>ausgeprägtes Organisationstalent</SoftSkill> sowie <SoftSkill_C>Begeisterung</SoftSkill_C> und <SoftSkill>Umsicht im Kontakt mit Patienten und Zuweisern</SoftSkill> mit. ->"," Ihr Profil
Für diese verantwortungsvolle Aufgabe bringen Sie <SoftSkill>ausgeprägtes Organisationstalent</SoftSkill> sowie <SoftSkill>Begeisterung im Kontakt mit Patienten und Zuweisern</SoftSkill> und <SoftSkill>Umsicht im Kontakt mit Patienten und Zuweisern</SoftSkill> mit."
1577," •  Sie <SoftSkill>arbeiten gerne im Freien</SoftSkill> und bringen <SoftSkill_C>handwerkliches</SoftSkill_C>, <SoftSkill>technisches Geschick</SoftSkill>
mit ->"," • Sie <SoftSkill>arbeiten gerne im Freien</SoftSkill> und bringen <SoftSkill>handwerkliches Geschick</SoftSkill>, <SoftSkill>technisches Geschick</SoftSkill>mit"
1578, <SoftSkill_C>Interesse</SoftSkill_C> und <SoftSkill>Freude an mechanischen Vorgängen</SoftSkill> sind die Voraussetzung. ->, <SoftSkill>Interesse an mechanischen Vorgängen</SoftSkill> und <SoftSkill>Freude an mechanischen Vorgängen</SoftSkill> sind die Voraussetzung.
1579, Du <SoftSkill>arbeitest kostenbewusst</SoftSkill> und mit <SoftSkill_C>einfachen Lösungen</SoftSkill_C>. ->, Du <SoftSkill>arbeitest kostenbewusst</SoftSkill> und <SoftSkill>arbeitest mit einfachen Lösungen</SoftSkill>.
1580," Sie sind <SoftSkill>anpackend</SoftSkill> und <SoftSkill>schätzen das selbstständige Arbeiten</SoftSkill>, sind <SoftSkill>belastbar</SoftSkill>, <SoftSkill_C>qualitäts-</SoftSkill_C> und <SoftSkill>kundenorientiert</SoftSkill> und verfügen über eine <SoftSkill>hohe Sozial-kompetenz</SoftSkill>. ->"," Sie sind <SoftSkill>anpackend</SoftSkill> und <SoftSkill>schätzen das selbstständige Arbeiten</SoftSkill>, sind <SoftSkill>belastbar</SoftSkill>, <SoftSkill>qualitätsorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill> und verfügen über eine <SoftSkill>hohe Sozialkompetenz</SoftSkill>."
1581," •  <SoftSkill_C>respektvolle</SoftSkill_C>, <SoftSkill>lösungsorientierte Kommunikation</SoftSkill> und <SoftSkill>Freude an der Zusammenarbeit mit Eltern</SoftSkill ->"," • <SoftSkill>respektvolle Kommunikation</SoftSkill>, <SoftSkill>lösungsorientierte Kommunikation</SoftSkill> und <SoftSkill>Freude an der Zusammenarbeit mit Eltern</SoftSkill>"
1582," Ihr Profi l:
Sie sind eine <SoftSkill_C>leistungsstarke</SoftSkill_C> und <SoftSkill>fl exible Persönlichkeit</SoftSkill> mit sehr guter technischer Ausbildung. ->"," Ihr Profi l:
Sie sind eine <SoftSkill>leistungsstarke Persönlichkeit</SoftSkill> und <SoftSkill>fl exible Persönlichkeit</SoftSkill> mit sehr guter technischer Ausbildung."
1583," Für unser Verkaufsgebiet in Bern suchen wir nach Vereinbarung eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>erfahrene</SoftSkill_C> und <SoftSkill>resultatorientierte Persönlichkeit</SoftSkill> als
Verkaufsberater (w/m) Wein in der Gastronomie (Region Bern) ->"," Für unser Verkaufsgebiet in Bern suchen wir nach Vereinbarung eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>, <SoftSkill>erfahrene Persönlichkeit</SoftSkill> und <SoftSkill>resultatorientierte Persönlichkeit</SoftSkill> als Verkaufsberater (w/m) Wein in der Gastronomie (Region Bern)"
1584," Einfache administrative Arbeiten am PC wie Rüstaufträge er-fassen und bereitstellen, <SoftSkill>erledigen Sie</SoftSkill> <SoftSkill_C>gewissenhaft</SoftSkill_C> und <SoftSkill_C>exakt</SoftSkill_C>. ->"," Einfache administrative Arbeiten am PC wie Rüstaufträge er-fassen und bereitstellen, <SoftSkill>erledigen Sie</SoftSkill> <SoftSkill>gewissenhaft</SoftSkill> und <SoftSkill>erledigen Sie</SoftSkill> <SoftSkill>exakt</SoftSkill>."
1585, Sie <SoftSkill>betreuen und beraten unsere Gäste motiviert</SoftSkill> und <SoftSkill_C>mit Freude</SoftSkill_C>. ->, Sie <SoftSkill>betreuen und beraten unsere Gäste motiviert</SoftSkill> und <SoftSkill>betreuen und beraten unsere Gäste mit Freude</SoftSkill>.
1586, <SoftSkill_C>präziser</SoftSkill_C> und <SoftSkill>selbständiger Arbeitsweise</SoftSkill ->, <SoftSkill>präziser Arbeitsweise</SoftSkill> und <SoftSkill>selbständiger Arbeitsweise</SoftSkill>
1587," Im <SoftSkill>täglichen Kundenkontakt</SoftSkill> überzeugen Sie mit Ihrer <SoftSkill_C>dienstleistungsorientierten</SoftSkill_C>, <SoftSkill>begeisterungsfähigen Art</SoftSkill> sowie mit Ihren sehr guten Sprachkenntnissen im stilsicheren Deutsch und Englisch. ->"," Im <SoftSkill>täglichen Kundenkontakt</SoftSkill> überzeugen Sie mit Ihrer <SoftSkill>dienstleistungsorientierten Art</SoftSkill>, <SoftSkill>begeisterungsfähigen Art</SoftSkill> sowie mit Ihren sehr guten Sprachkenntnissen im stilsicheren Deutsch und Englisch."
1588, •  <SoftSkill_C>selbstständig</SoftSkill_C> und <SoftSkill>teamfähig arbeiten</SoftSkill ->, <SoftSkill>Selbstständig arbeiten</SoftSkill> und <SoftSkill>teamfähig arbeiten</SoftSkill>
1589, •  <SoftSkill>Freude an der Umsetzung</SoftSkill> und <SoftSkill_C>Durchsetzungsvermögen</SoftSkill_C> sowie <SoftSkill_C>ambitionierte</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise in einem dynamischen und komplexen Umfeld</SoftSkill ->, • <SoftSkill>Freude an der Umsetzung</SoftSkill> und <SoftSkill>Freude an der Durchsetzungsvermögen</SoftSkill> sowie <SoftSkill>ambitionierte Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise in einem dynamischen und komplexen Umfeld</SoftSkill>
1590," Sie haben <SoftSkill>Interesse, sich in mathematikdidaktische Themen der Unterstufe und Primarstufe ein zu arbeiten</SoftSkill> und <SoftSkill>arbeiten gern selbstständig</SoftSkill> und <SoftSkill_C>teamorientiert</SoftSkill_C>. ->"," Sie haben <SoftSkill>Interesse, sich in mathematikdidaktische Themen der Unterstufe und Primarstufe ein zu arbeiten</SoftSkill> und <SoftSkill>arbeiten gern selbstständig</SoftSkill> und <SoftSkill>arbeiten gern teamorientiert</SoftSkill>."
1591," eine weiterbildung als werkmeister, techniker oder ähnlich ist erwünscht, aber keine bedingung
sind sie ein <SoftSkill_C>organisationsstarker</SoftSkill_C>, <SoftSkill_C>anpackender</SoftSkill_C> und ...
... <SoftSkill_C>mitdenkender</SoftSkill_C> sowie <SoftSkill>kooperativer fachmann</SoftSkill>? ->"," eine weiterbildung als werkmeister, techniker oder ähnlich ist erwünscht, aber keine bedingung
sind sie ein <SoftSkill>organisationsstarker fachmann</SoftSkill>, <SoftSkill>anpackender fachmann</SoftSkill> und ...
... <SoftSkill>mitdenkender fachmann</SoftSkill> sowie <SoftSkill>kooperativer fachmann</SoftSkill>?"
1592," •  <SoftSkill_C>sehr
stilsich
</SoftSkill_C>er und <SoftSkill>gewandt in der deutschen Sprache</SoftSkill>
(mündlich und schriftlich)
Gemeinderatskanzlei
Erlenbach
2
Sie verfügen über: ->"," • <SoftSkill>sehr stilsicher</SoftSkill>er und <SoftSkill>gewandt in der deutschen Sprache</SoftSkill>
(mündlich und schriftlich)
Gemeinderatskanzlei
Erlenbach
2
Sie verfügen über:"
1593, Du <SoftSkill>gehst gerne selbstbewusst</SoftSkill> und <SoftSkill_C>offen auf Menschen zu</SoftSkill_C>. ->, Du <SoftSkill>gehst gerne selbstbewusst</SoftSkill> und <SoftSkill>gehst gerne offen auf Menschen zu</SoftSkill>.
1594," Erfahrung in der Gemeinschaftsgastronomie in vergleichbarer Position
<SoftSkill>tadelloses Erscheinungsbild</SoftSkill> und <SoftSkill>sehr gute Umgangsformen</SoftSkill>
<SoftSkill_C>freundliche</SoftSkill_C> und <SoftSkill>motivierte Persönlichkeit</SoftSkill> mit <SoftSkill>Freude am Gästekontakt</SoftSkill ->"," Erfahrung in der Gemeinschaftsgastronomie in vergleichbarer Position
<SoftSkill>tadelloses Erscheinungsbild</SoftSkill> und <SoftSkill>sehr gute Umgangsformen</SoftSkill>
<SoftSkill>freundliche Persönlichkeit</SoftSkill> und <SoftSkill>motivierte Persönlichkeit</SoftSkill> mit <SoftSkill>Freude am Gästekontakt</SoftSkill>"
1595, •  <SoftSkill_C>Gute konzeptionelle</SoftSkill_C> und <SoftSkill>organisatorische Skills</SoftSkill ->, <SoftSkill>Gute konzeptionelle Skills</SoftSkill> und <SoftSkill>organisatorische Skills</SoftSkill>
1596," Sie führen die Küche mit viel Eigenverantwortung und <SoftSkill_C>Initiative</SoftSkill_C>, <SoftSkill>handeln dabei im Interesse der Unternehmung</SoftSkill> und zeigen eine <SoftSkill>hohe Leistungsbereitschaft</SoftSkill>. ->"," Sie führen die Küche mit viel Eigenverantwortung und <SoftSkill>Initiative</SoftSkill>, <SoftSkill>handeln dabei im Interesse der Unternehmung</SoftSkill> und zeigen eine <SoftSkill>hohe Leistungsbereitschaft</SoftSkill>."
1597," Solides PC- und ERP-Wissen, gute Englischkenntnisse und eine <SoftSkill_C>pragmatische</SoftSkill_C>, <SoftSkill>wirkungsvolle Vorgehensweise</SoftSkill> runden Ihr Profil ab. ->"," Solides PC- und ERP-Wissen, gute Englischkenntnisse und eine <SoftSkill>pragmatische Vorgehensweise</SoftSkill>, <SoftSkill>wirkungsvolle Vorgehensweise</SoftSkill> runden Ihr Profil ab."
1598, <SoftSkill>Freude am Umgang mit verschiedenen Menschen</SoftSkill> und <SoftSkill_C>dem Computer</SoftSkill_C> runden dein Profil ab. ->, <SoftSkill>Freude am Umgang mit verschiedenen Menschen</SoftSkill> und <SoftSkill>Freude am Umgang mit dem Computer</SoftSkill> runden dein Profil ab.
1599," Lehre als Hochbauzeichner/in
evtl. in Weiterbildung zum/r Hochbautechniker/in
CAD-Kenntnisse
<SoftSkill>Freude am Beruf</SoftSkill> und an <SoftSkill_C>Verantwortung</SoftSkill_C>
<SoftSkill>Spass an anspruchsvoller Aufgaben</SoftSkill ->"," Lehre als Hochbauzeichner/in
evtl. in Weiterbildung zum/r Hochbautechniker/in
CAD-Kenntnisse
<SoftSkill>Freude am Beruf</SoftSkill> und <SoftSkill>Freude an Verantwortung</SoftSkill>
<SoftSkill>Spass an anspruchsvoller Aufgaben</SoftSkill>"
1600," Die Ausbildung verlangt <SoftSkill>Freude an Mathematik</SoftSkill>, am <SoftSkill_C>Experimentieren</SoftSkill_C> und <SoftSkill_C>Tüfteln</SoftSkill_C>, <SoftSkill>Interesse an Elektrotechnik</SoftSkill>, <SoftSkill>technisches Verständnis</SoftSkill>, <SoftSkill>analytisches Denkvermögen</SoftSkill>, <SoftSkill>Abstraktionsfähigkeit</SoftSkill>, <SoftSkill>exakte Arbeitsweise</SoftSkill>, <SoftSkill>Zuverlässigkeit</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>. ->"," Ausbildung verlangt <SoftSkill>Freude an Mathematik</SoftSkill>, <SoftSkill>Freude an Experimentieren</SoftSkill> und <SoftSkill>Freude an Tüfteln</SoftSkill>, <SoftSkill>Interesse an Elektrotechnik</SoftSkill>, <SoftSkill>technisches Verständnis</SoftSkill>, <SoftSkill>analytisches Denkvermögen</SoftSkill>, <SoftSkill>Abstraktionsfähigkeit</SoftSkill>, <SoftSkill>exakte Arbeitsweise</SoftSkill>, <SoftSkill>Zuverlässigkeit</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>."
1601," Hochschulabschluss in Biologie oder Natur-/Umweltwissenschaften
Erfahrung im Bereich Invasive Neobiota erwünscht
<SoftSkill>Flexibilität bezüglich Arbeitspensum</SoftSkill> (saisonbedingt)
<SoftSkill_C>Kommunikations-</SoftSkill_C> und <SoftSkill>Verhandlungsstärke</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill ->"," Hochschulabschluss in Biologie oder Natur-/Umweltwissenschaften
Erfahrung im Bereich Invasive Neobiota erwünscht
<SoftSkill>Flexibilität bezüglich Arbeitspensum</SoftSkill> (saisonbedingt)
<SoftSkill>Kommunikationsstärke</SoftSkill> und <SoftSkill>Verhandlungsstärke</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>"
1602," Wir wünschen uns eine <SoftSkill_C>teamorientierte</SoftSkill_C> und <SoftSkill>authentische Mitarbeiterin</SoftSkill>, die unser Team ergänzt und über ein <SoftSkill>vernetztes Denken</SoftSkill> verfügt. ->"," Wir wünschen uns eine <SoftSkill>teamorientierte Mitarbeiterin</SoftSkill> und <SoftSkill>authentische Mitarbeiterin</SoftSkill>, die unser Team ergänzt und über ein <SoftSkill>vernetztes Denken</SoftSkill> verfügt."
1603," Ihr Profil: Sie bringen eine abgeschlossene Sekundarschulausbildung mit, haben ein <SoftSkill>gutes räumliches Vorstellungsvermögen</SoftSkill> und <SoftSkill>Freude an Gestaltung</SoftSkill> und am <SoftSkill_C>Zeichnen</SoftSkill_C>. ->"," Ihr Profil: Sie bringen eine abgeschlossene Sekundarschulausbildung mit, haben ein <SoftSkill>gutes räumliches Vorstellungsvermögen</SoftSkill> und <SoftSkill>Freude an Gestaltung</SoftSkill> und <SoftSkill>Freude an Zeichnen</SoftSkill>."
1604," Wir bieten einem/einer <SoftSkill>praktisch veranlagten</SoftSkill>, <SoftSkill_C>unkompliziert</SoftSkill_C> und <SoftSkill>zielgerichtet arbeitenden</SoftSkill> Berufsmann / Berufsfrau mit <SoftSkill>hoher Sozialkompetenz</SoftSkill> eine sichere und attraktive Stelle mit zeitgemässen Anstellungsbedingungen. ->"," Wir bieten einem/einer <SoftSkill>praktisch veranlagten</SoftSkill>, <SoftSkill>unkompliziert arbeitenden</SoftSkill> und <SoftSkill>zielgerichtet arbeitenden</SoftSkill> Berufsmann / Berufsfrau mit <SoftSkill>hoher Sozialkompetenz</SoftSkill> eine sichere und attraktive Stelle mit zeitgemässen Anstellungsbedingungen."
1605," Mit Ihrer <SoftSkill_C>fokussierten</SoftSkill_C>, <SoftSkill_C>fachlichen</SoftSkill_C> und <SoftSkill>kompetenten  Beratung</SoftSkill> verstehen Sie es, <SoftSkill>Kunden und Mitarbeiter für die Marke SwissVitalWorld zu begeistern</SoftSkill>. ->"," Mit Ihrer <SoftSkill>fokussierten Beratung</SoftSkill>, <SoftSkill>fachlichen Beratung</SoftSkill> und <SoftSkill>kompetenten Beratung</SoftSkill> verstehen Sie es, <SoftSkill>Kunden und Mitarbeiter für die Marke SwissVitalWorld zu begeistern</SoftSkill>."
1606, •  <SoftSkill_C>Erfahrung</SoftSkill_C> und <SoftSkill>Freude im Leisten von Nachtdiensteinsätzen</SoftSkill ->, <SoftSkill>Erfahrung im Leisten von Nachtdiensteinsätzen</SoftSkill> und <SoftSkill>Freude im Leisten von Nachtdiensteinsätzen</SoftSkill>
1607," <SoftSkill>Freude an Technik</SoftSkill> und <SoftSkill_C>Zahlen</SoftSkill_C>
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>gutes räumliches Vorstellungsvermögen</SoftSkill>
<SoftSkill>Spass am Büroalltag</SoftSkill> sowie an der <SoftSkill_C>Arbeit im Freien</SoftSkill_C>
<SoftSkill>Kommunikativ</SoftSkill> und <SoftSkill>stark im Organisieren</SoftSkill ->"," <SoftSkill>Freude an Technik</SoftSkill> und <SoftSkill>Freude an Zahlen</SoftSkill>
<SoftSkill>Exakte Arbeitsweise</SoftSkill> und <SoftSkill>gutes räumliches Vorstellungsvermögen</SoftSkill>
<SoftSkill>Spass am Büroalltag</SoftSkill> sowie an der <SoftSkill>Arbeit im Freien</SoftSkill>
<SoftSkill>Kommunikativ</SoftSkill> und <SoftSkill>stark im Organisieren</SoftSkill>"
1608," Die <SoftSkill>Fähigkeit, erfolgreich mit Menschen zusammenzuarbeiten</SoftSkill> und <SoftSkill_C>für sich zu gewinnen</SoftSkill_C>. ->"," Die <SoftSkill>Fähigkeit, erfolgreich mit Menschen zusammenzuarbeiten</SoftSkill> und <SoftSkill>Fähigkeit, für sich zu gewinnen</SoftSkill>."
1609," Sie überzeugen
durch ein <SoftSkill>fachkompetentes Auftreten</SoftSkill>, <SoftSkill>ausgeprägte Teamfähigkeit</SoftSkill> sowie eine <SoftSkill_C>analytische</SoftSkill_C>
und <SoftSkill>ganzheitliche Denkweise</SoftSkill>. ->"," Sie überzeugen durch ein <SoftSkill>fachkompetentes Auftreten</SoftSkill>, <SoftSkill>ausgeprägte Teamfähigkeit</SoftSkill> sowie eine <SoftSkill>analytische Denkweise</SoftSkill> und <SoftSkill>ganzheitliche Denkweise</SoftSkill>."
1610," Sie <SoftSkill>arbeiten gerne in einem gemischten Team</SoftSkill>, besitzen ein <SoftSkill>Flair für modische Aufzüge</SoftSkill> und <SoftSkill_C>Logistik</SoftSkill_C>, verfügen über ein <SoftSkill>gutes Organisationstalent</SoftSkill> und sprechen fliessend Deutsch. ->"," Sie <SoftSkill>arbeiten gerne in einem gemischten Team</SoftSkill>, besitzen ein <SoftSkill>Flair für modische Aufzüge</SoftSkill> und <SoftSkill>Flair für Logistik</SoftSkill>, verfügen über ein <SoftSkill>gutes Organisationstalent</SoftSkill> und sprechen fliessend Deutsch."
1611," •  <SoftSkill>Strukturiertes Vorgehen</SoftSkill> verbunden mit einer <SoftSkill_C>sehr sorgfältigen</SoftSkill_C>, <SoftSkill_C>genauen</SoftSkill_C> und <SoftSkill>ergebnisorientierter
Arbeitsweise</SoftSkill ->"," • <SoftSkill>Strukturiertes Vorgehen</SoftSkill> verbunden mit einer <SoftSkill>sehr sorgfältigen Arbeitsweise</SoftSkill>, <SoftSkill>genauen Arbeitsweise</SoftSkill> und <SoftSkill>ergebnisorientierter Arbeitsweise</SoftSkill>"
1612," Dank Ihrer <SoftSkill_C>konzeptionellen</SoftSkill_C> und <SoftSkill>strukturierten Denkweise</SoftSkill> sind Sie fähig, <SoftSkill>Lösungen selbständig zu erarbeiten</SoftSkill> und <SoftSkill_C>umzusetzen</SoftSkill_C>, sowie <SoftSkill>Arbeitsresultate prägnant zu dokumentieren</SoftSkill>. ->"," Dank Ihrer <SoftSkill>konzeptionellen Denkweise</SoftSkill> und <SoftSkill>strukturierten Denkweise</SoftSkill> sind Sie fähig, <SoftSkill>Lösungen selbständig zu erarbeiten</SoftSkill> und <SoftSkill>Lösungen umzusetzen</SoftSkill>, sowie <SoftSkill>Arbeitsresultate prägnant zu dokumentieren</SoftSkill>."
1613," Abgeschlossenes Medizinstudium
Sehr gute Deutschkenntnisse in Wort und Schrift
<SoftSkill_C>Freundliche</SoftSkill_C> und <SoftSkill>gepflegte Erscheinung</SoftSkill>
<SoftSkill>Teamorientiert</SoftSkill>
<SoftSkill>Bereitschaft zur Leistung von Pikett-, Nacht- und Wochenenddiensten</SoftSkill> (interdisziplinär) ->"," Abgeschlossenes Medizinstudium
Sehr gute Deutschkenntnisse in Wort und Schrift
<SoftSkill>Freundliche Erscheinung</SoftSkill> und <SoftSkill>gepflegte Erscheinung</SoftSkill>
<SoftSkill>Teamorientiert</SoftSkill>
<SoftSkill>Bereitschaft zur Leistung von Pikett-, Nacht- und Wochenenddiensten</SoftSkill> (interdisziplinär)"
1614, •  <SoftSkill_C>Technisches</SoftSkill_C> und <SoftSkill>praktisches Verständnis</SoftSkill ->, <SoftSkill>Technisches Verständnis</SoftSkill> und <SoftSkill>praktisches Verständnis</SoftSkill>
1615, •  <SoftSkill>Freude an selbstständigem Arbeiten</SoftSkill> und <SoftSkill_C>verantwortungsvollem Handeln</SoftSkill_C ->, <SoftSkill>Freude an selbstständigem Arbeiten</SoftSkill> und <SoftSkill>Freude an verantwortungsvollem Handeln</SoftSkill>.
1616," •  Sie verfügen über <SoftSkill>gute persönliche Kommunikationsfähigkeiten</SoftSkill>, sowie <SoftSkill_C>Verhandlungs-</SoftSkill_C> und
<SoftSkill>Präsentationsgeschick</SoftSkill>. ->"," • Sie verfügen über <SoftSkill>gute persönliche Kommunikationsfähigkeiten</SoftSkill>, sowie <SoftSkill>Verhandlungsgeschick</SoftSkill> und
<SoftSkill>Präsentationsgeschick</SoftSkill>."
1617, Sie haben <SoftSkill>Freude an organisatorischen und administrativen Aufgaben</SoftSkill> sowie an der <SoftSkill_C>Arbeit im Bereich der Schulentwicklung</SoftSkill_C>. ->, Sie haben <SoftSkill>Freude an organisatorischen und administrativen Aufgaben</SoftSkill> sowie <SoftSkill>Freude an der Arbeit im Bereich der Schulentwicklung</SoftSkill>.
1618," Sie <SoftSkill>denken prozessorientiert</SoftSkill>
und <SoftSkill_C>vernetzt</SoftSkill_C> und <SoftSkill>arbeiten gerne mit den verschiedensten Kulturen zusammen</SoftSkill>. ->"," Sie <SoftSkill>denken prozessorientiert</SoftSkill>
und <SoftSkill>denken vernetzt</SoftSkill> und <SoftSkill>arbeiten gerne mit den verschiedensten Kulturen zusammen</SoftSkill>."
1619, •  <SoftSkill_C>Strukturiertes</SoftSkill_C> und <SoftSkill>abschlussorientiertes Verhandlungsgeschick</SoftSkill ->, <SoftSkill>Strukturiertes Verhandlungsgeschick</SoftSkill> und <SoftSkill>abschlussorientiertes Verhandlungsgeschick</SoftSkill>
1620," Abgeschlossene Sekundarschule, <SoftSkill>Interesse für Mode</SoftSkill>, <SoftSkill>Handgeschicklichkeit</SoftSkill>, <SoftSkill_C>guter Formen-</SoftSkill_C> und <SoftSkill>Farbensinn</SoftSkill>, <SoftSkill>kontaktfreudig</SoftSkill>, <SoftSkill>gute Umgangsformen</SoftSkill>, <SoftSkill>keine Allergien</SoftSkill>, <SoftSkill>gute Gesundheit</SoftSkill>. ->"," Abgeschlossene Sekundarschule, <SoftSkill>Interesse für Mode</SoftSkill>, <SoftSkill>Handgeschicklichkeit</SoftSkill>, <SoftSkill>guter Formensinn</SoftSkill> und <SoftSkill>guter Farbensinn</SoftSkill>, <SoftSkill>kontaktfreudig</SoftSkill>, <SoftSkill>gute Umgangsformen</SoftSkill>, <SoftSkill>keine Allergien</SoftSkill>, <SoftSkill>gute Gesundheit</SoftSkill>."
1621," Sie weisen eine mehrjährige Berufspraxis mit entsprechender Weiterbildung vor und sind es gewohnt, <SoftSkill_C>teamorientiert</SoftSkill_C>, <SoftSkill_C>selbstständig</SoftSkill_C>, <SoftSkill_C>termin-</SoftSkill_C> und <SoftSkill>kostenbewusst zu arbeiten</SoftSkill>. ->"," Sie weisen eine mehrjährige Berufspraxis mit entsprechender Weiterbildung vor und sind es gewohnt, <SoftSkill>teamorientiert zu arbeiten</SoftSkill>, <SoftSkill>selbstständig zu arbeiten</SoftSkill>, <SoftSkill>terminbewusst zu arbeiten</SoftSkill> und <SoftSkill>kostenbewusst zu arbeiten</SoftSkill>."
1622," Für diese interessanten und vielseitigen Aufgaben suchen wir eine Person, die <SoftSkill_C>lösungsorientiert</SoftSkill_C> und <SoftSkill>selbständig handelt</SoftSkill>. ->"," Für diese interessanten und vielseitigen Aufgaben suchen wir eine Person, die <SoftSkill>lösungsorientiert handelt</SoftSkill> und <SoftSkill>selbständig handelt</SoftSkill>."
1623," Ihre <SoftSkill_C>abstrakte</SoftSkill_C>, <SoftSkill_C>analytische</SoftSkill_C> und <SoftSkill>systematische Denkweise</SoftSkill>, fundierten Erfahrungen und <SoftSkill>innovativen Ideen</SoftSkill> <SoftSkill>bringen Sie aktiv in die Projekte ein</SoftSkill>. ->"," Ihre <SoftSkill>abstrakte Denkweise</SoftSkill>, <SoftSkill>analytische Denkweise</SoftSkill> und <SoftSkill>systematische Denkweise</SoftSkill>, fundierten Erfahrungen und <SoftSkill>innovativen Ideen</SoftSkill> <SoftSkill>bringen Sie aktiv in die Projekte ein</SoftSkill>."
1624," Sie verstehen es, Berufsleute von Ihren <SoftSkill_C>Ideen</SoftSkill_C> und Ihrer <SoftSkill>Leidenschaft für Früchte und Gemüse zu überzeugen</SoftSkill>? ->"," Sie verstehen es, Berufsleute von Ihren <SoftSkill>Ideen für Früchte und Gemüse</SoftSkill> und Ihrer <SoftSkill>Leidenschaft für Früchte und Gemüse zu überzeugen</SoftSkill>?"
1625, Wir suchen eine <SoftSkill_C>gefestigte</SoftSkill_C> und <SoftSkill>vertrauensvolle Persönlichkeit</SoftSkill> für das zweier-Team. ->, Wir suchen eine <SoftSkill>gefestigte Persönlichkeit</SoftSkill> und <SoftSkill>vertrauensvolle Persönlichkeit</SoftSkill> für das zweier-Team.
1626," <SoftSkill>Verstehen von komplexen Zusammenhängen</SoftSkill>, <SoftSkill_C>vernetztes</SoftSkill_C> und <SoftSkill>betriebswirtschaftliches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>, <SoftSkill_C>ausgeprägte Kunden-</SoftSkill_C> und <SoftSkill>Dienstleistungsorientierung</SoftSkill ->"," <SoftSkill>Verstehen von komplexen Zusammenhängen</SoftSkill>, <SoftSkill>vernetztes Denken</SoftSkill> und <SoftSkill>betriebswirtschaftliches Denken</SoftSkill> und <SoftSkill>ausgeprägte Kundenorientierung</SoftSkill> und <SoftSkill>Dienstleistungsorientierung</SoftSkill>"
1627," Projektleitungserfahrung mit <SoftSkill_C>selbständigem</SoftSkill_C> und <SoftSkill>sauberem Arbeitsstil</SoftSkill>
<SoftSkill>Zuverlässigkeit</SoftSkill>, <SoftSkill>Eigenständigkeit</SoftSkill>, <SoftSkill>Kreativität</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Lernbereitschaft</SoftSkill>. ->"," Projektleitungserfahrung mit <SoftSkill>selbständigem Arbeitsstil</SoftSkill> und <SoftSkill>sauberem Arbeitsstil</SoftSkill>
<SoftSkill>Zuverlässigkeit</SoftSkill>, <SoftSkill>Eigenständigkeit</SoftSkill>, <SoftSkill>Kreativität</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill> und <SoftSkill>Lernbereitschaft</SoftSkill>."
1628, •  <SoftSkill>Freude an Sauberkeit</SoftSkill> und <SoftSkill_C>Hygiene</SoftSkill_C ->, <SoftSkill>Freude an Sauberkeit</SoftSkill> und <SoftSkill>Freude an Hygiene</SoftSkill>.
1629, •  <SoftSkill>Offenheit für Veränderungen</SoftSkill> und <SoftSkill_C>gute Planungs-</SoftSkill_C> und <SoftSkill>Organisationsfähigkeit</SoftSkill ->, <SoftSkill>Offenheit für Veränderungen</SoftSkill> und <SoftSkill>gute Planungsfähigkeit</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>
1630," Du kannst
<SoftSkill_C>anpacken</SoftSkill_C> und <SoftSkill>arbeitest genauso gut im Team wie auch alleine</SoftSkill>. ->", Du kannst <SoftSkill>anpacken</SoftSkill> und <SoftSkill>arbeitest genauso gut im Team wie auch alleine</SoftSkill>.
1631," Bist du eine <SoftSkill_C>neugierige</SoftSkill_C>, <SoftSkill_C>technisch interessierte</SoftSkill_C>, <SoftSkill_C>analytische</SoftSkill_C> und <SoftSkill>innovative Person</SoftSkill>? ->"," Bist du eine <SoftSkill>neugierige Person</SoftSkill>, <SoftSkill>technisch interessierte Person</SoftSkill>, <SoftSkill>analytische Person</SoftSkill> und <SoftSkill>innovative Person</SoftSkill>?"
